N°,ID Zonaprop,Asignado a,¿Duplicada?,Grupo duplicado,Duplicada de (ID),Tipo,Operación,Título,Dirección,Barrio,Localidad/Partido,Zona/Provincia,Moneda,Precio,Precio (texto),Expensas ARS,Expensas (texto),Sup. total (m²),Sup. cubierta (m²),Sup. descubierta (m²),Sup. semicubierta (m²),Frente terreno (m),Largo terreno (m),Ambientes,Dormitorios,Baños,Toilettes,Cocheras,Cobertura cochera,Cant. plantas,Disposición,Orientación,Antigüedad (años),Luminosidad,Deptos por piso,Pisos del edificio,Apto crédito,Apto profesional,Permite mascotas,Pileta,Parrilla,Hidromasaje,Gimnasio,Solárium,Sala de juegos,Acceso mov. reducida,Aire acondicionado,Cocina,Otras características,Cant. imágenes,URL portada,IDs imágenes,Imágenes — TODAS las URLs públicas (descargables),Video (YouTube),Recorrido 360°,URL publicación (Zonaprop),Carpeta Drive (docs legales + archivos),Notas,Descripción
1,59114663,Diego,No,,,Casa,Venta,"Casa Premium 6 ambientes con pileta climatizada, jardín y sauna","José Luis Cantilo 4300, Villa Devoto, Capital Federal",,Villa Devoto,Capital Federal,USD,"1,350,000",Venta USD 1.350.000,,,520,450,70,,8,40,6,6,4,,4,Cubierta,2,,N,10,Muy luminoso,,,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,No,,38,https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942732.jpg,"2052942732,2052942705,2052942730,2052942729,2052942719,2052942734,2052942702,2052942699,2052942708,2052942731,2052942712,2052942704,2052942707,2052942727,2052942711,2052942715,2052942722,2052942718,2052942701,2052942724,2052942709,2052942716,2052942720,2052942696,2052942706,2052942700,2052942698,2052942728,2052942733,2052942697,2052942710,2052942713,2052942703,2052942735,2052942717,2052942714,2052942721,2052942725",https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942732.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942705.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942730.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942729.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942719.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942734.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942702.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942699.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942708.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942731.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942712.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942704.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942707.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942727.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942711.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942715.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942722.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942718.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942701.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942724.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942709.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942716.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942720.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942696.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942706.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942700.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942698.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942728.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942733.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942697.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942710.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942713.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942703.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942735.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942717.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942714.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942721.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/11/46/63/1200x1200/2052942725.jpg,https://www.youtube.com/watch?v=dq0qOLFfdaw,,https://www.zonaprop.com.ar/propiedades/clasificado/-59114663.html,https://drive.google.com/drive/folders/1A2lxG1FfdFzeBgh6MqDaxzBVvV8vikAr,,"Con menos de 10 años, radiadores sectorizados con dos calderas, espacio para 4 autos, habitación suite con gran vestidor e hidromasaje y más. /  / Al ingresar a la propiedad nos encontramos con living-comedor muy amplio, que conecta con un patio que brinda ventilación cruzada, un pasillo hacia la cocina que tiene un baño. La cocina con barra y amplio comedor diario también con ventilación cruzada y grandes aberturas. Desde la cocina podemos ir hacia el subsuelo o avanzar hacia el jardín de invierno con parrilla super completa. Próximo tenemos el jardín con la pileta climatizada con paneles solares para usar todo el año. /  / En el primer piso, dos baños completos, dos dormitorios al frente, uno de ellos con ventilación y luz hacia el patio. La suite principal de generosas dimensiones da hacia el contrafrente con ventanales hacia el jardin, cuenta con un gran vestidor, ante baño y baño completo con hidromasaje; la orientación norte garantiza luz y sol. /  / En el nivel superior, dos terrazas para expandir la vida al aire libre. /  / En subsuelo: cochera cubierta para cuatro autos (entran 4x4), un cómodo sauna, lavadero separado y dependencia. /  / Detalles de categoría: DVH oscilobatiente, sanitarios Roca, griferías FV, dos calderas y calefacción por radiadores sectorizados. Menos de 10 años de antigüedad. /  / Lote de 8,68 m x ~40 m. /  / La Ubicación en Villa Devoto es uno de los puntos claves, a cuadras del polo gastronómico y la arboleda de Plaza Arenales, cerca de Devoto Shopping y servicios de salud y educación. Muy buena conectividad: estación Devoto de la Línea Urquiza y colectivos 105, 107, 108 y 114. Ideal para una familia que prioriza el verde, colegios de gran calidad y vida de barrio. /  / Coordinemos una visita para conocerla en detalle. /  / La presente publicación describe las características esenciales del inmueble, las medidas reales surgirán del título de la propiedad y debiéndose consultar al corredor público inmobiliario responsable de la operación por descripciones arquitectónicas y funcionales, servicios, impuestos, precios y demás información, cuyos valores son aproximados."
2,54934416,Diego,No,,,Casa,Venta,Casa 4 ambientes a estrenar con jardín,"Aleu 3500, San Andrés, General San Martín",San Andrés,General San Martín,GBA Norte,USD,"225,000",Venta USD 225.000,,,326,210,116,0,8,37,4,3,3,,1,Cubierta,2,,,1,Muy luminoso,,,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,,38,https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245897.jpg,"2047245897,2047245881,2047245884,2047245886,2047245890,2047245864,2047245889,2047245885,2047245862,2047245873,2047245891,2047245869,2047245872,2047245865,2047245861,2047245878,2047245874,2047245893,2047245892,2047245882,2047245896,2047245868,2047245875,2047245887,2047245863,2047245866,2047245879,2047245880,2047245883,2047245860,2047245877,2047245870,2047245876,2047245894,2047245867,2047245888,2047245871,2047245895",https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245897.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245881.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245884.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245886.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245890.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245864.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245889.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245885.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245862.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245873.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245891.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245869.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245872.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245865.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245861.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245878.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245874.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245893.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245892.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245882.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245896.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245868.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245875.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245887.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245863.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245866.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245879.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245880.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245883.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245860.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245877.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245870.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245876.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245894.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245867.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245888.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245871.jpg | https://imgar.zonapropcdn.com/avisos/1/00/54/93/44/16/1200x1200/2047245895.jpg,,,https://www.zonaprop.com.ar/propiedades/clasificado/-54934416.html,https://drive.google.com/drive/folders/1XzNHT6azGWpVTHgGjbaUakIO8_JDgxY2,,"Increible Casa a estrenar con 210 m² cubiertos y 116 m² descubiertos aproximados. / Dos baños completos + toilette, cochera, lavadero, jardín con patio y mas. /  / Es una solida casa, esta ubicada sobre un lote propio de 8,66 x 50, al entrar, lo primero que notarás es la amplia cochera cubierta a tu izquierda y a la derecha un espacio donde podria ser un Jardin. Desde aca, accedemos al interior de la propiedad a través de hall d e entrada que nos conecta con el toilette de PB. /  / Hacia la derecha nos encontramos con una amplia sala de estar/livingque con ventilación cruzada y excealente luminosidad natural, hacia el fondo a la izquierda accedemos a la cocina funcional y modernoa con una isla y un comodo espacio de comdedor diario. Desde la cocina, se accede al lavadero independiente. /  / Desde la cocina podemos ver el hermoso espacio para jardin que se accede a traves del living, un espacio perfecto para disfrutar en familia, ideal para disfrutar del aire libre y del sol organizar asados los fines de semana o hasta agregar una pileta. /  / En el segundo nivel tenemos hall de distribución muy amplio con suficiente espacio para escritorio que conecta 3 las habitaciones. A la derecha, entramos a la habitación principal en suite, que te sorprenderá por su amplitud. Esta suite cuenta con suficiente espacio para un vestidor y un baño completo con hidro masaje. /  / Las otras dos habitaciones al frente, ubicadas a ambos lados del hall, son también luminosas y cuentan con placares empotrados sin el interior realizado. Al final del recorrido, encontramos otro al tercer baño completo, con antebaño y espacio para un buen mueble de guardado. /  / Coordinemos una visita para conocerla en detalle. /  / La presente publicación describe las características esenciales del inmueble. Las medidas exactas surgirán del título de propiedad. Para más detalles sobre planos, servicios, precios o condiciones, consulte con el corredor público inmobiliario responsable."
3,59280119,Diego,No,,,Casa,Venta,"Dúplex 4 ambientes con cochera, jardín y quincho - Apto Crédito","Entre Ríos 2333, Martínez, San Isidro",Martínez,San Isidro,GBA Norte,USD,"180,000",Venta USD 180.000,,,180,80,100,,,,4,3,1,1,1,Descubierta,,,,20,Luminoso,,,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,,21,https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057153192.jpg,"2057153192,2057025193,2057025196,2057025192,2057025186,2057025183,2057025201,2057025191,2057025204,2057025184,2057025187,2057025194,2057025190,2057025200,2057025202,2057025203,2057025195,2057025199,2057025198,2057025197,2057153808",https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057153192.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025193.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025196.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025192.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025186.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025183.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025201.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025191.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025204.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025184.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025187.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025194.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025190.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025200.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025202.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025203.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025195.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025199.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025198.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057025197.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/28/01/19/1200x1200/2057153808.jpg,https://www.youtube.com/watch?v=cbisKbsTNgw,,https://www.zonaprop.com.ar/propiedades/clasificado/-59280119.html,https://drive.google.com/drive/folders/1-MKFmgOxvZcUq1G8XqBJvz2FlOpRR4wk,,"Excelente casa tipo dúplex de 4 ambientes en venta, ubicada sobre Entre Ríos al 2300, Martínez. La propiedad cuenta con 80 m² cubiertos aproximados y una distribución comoda y funcional. /  / Ingresamos a traves de un amplio garaje, accedemos al living comedor que nos conecta con la cocina y si continuamos con el lavadero. /  / Desde el living tenemos un pasillo que nos lleva al toilette, si conitunamos accedemos a la primera habitacion con ventilación hacia el lataral de la propiedad y las dos siguientes habitaciones dan al contra frente. Actualmente se accede al jardin a traves de una de estas habitaciones (ver video). /  / La estrella de la casa es el hermoso y amplio Jardin con un espacio de quincho atras, ideal para disftutar en familia. /  / ¡Coordinemos una visita para verlo en persona! /  / La presente publicación describe las características esenciales del inmueble, las medidas reales surgirán del titulo de la propiedad y debiéndose consultar al corredor público inmobiliario responsable de la operación por descripciones arquitectónicas y funcionales, servicio información, cuyos valores son aproximados."
4,59072999,Diego,No,,,PH,Venta,2 PH en 1 | Lote 10x30 | Cochera 4 autos + patio + terraza,"ALMAFUERTE 2500, General San Martín, GBA Norte",,General San Martín,GBA Norte,USD,"169,000",Venta USD 169.000,,,370,287,83,,,,6,5,1,,4,Descubierta,,,,40,Luminoso,,,No,No,Sí,No,Sí,No,No,No,No,No,No,No,,36,https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884338.jpg,"2051884338,2051884355,2051884348,2051884351,2051884342,2051884345,2051884343,2051884350,2051884372,2051884363,2051884356,2051884354,2051884339,2051884362,2051884357,2051884340,2051884346,2051884347,2051884352,2051884358,2051884341,2051884336,2051884364,2051884344,2051884369,2051884375,2051884360,2051884353,2051884367,2051884365,2051884337,2051884376,2051884371,2051884349,2051884359,2051884366",https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884338.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884355.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884348.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884351.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884342.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884345.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884343.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884350.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884372.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884363.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884356.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884354.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884339.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884362.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884357.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884340.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884346.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884347.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884352.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884358.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884341.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884336.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884364.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884344.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884369.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884375.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884360.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884353.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884367.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884365.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884337.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884376.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884371.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884349.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884359.jpg | https://imgar.zonapropcdn.com/avisos/1/00/59/07/29/99/1200x1200/2051884366.jpg,https://www.youtube.com/watch?v=Hfcd8UNA2kc,,https://www.zonaprop.com.ar/propiedades/clasificado/-59072999.html,https://drive.google.com/drive/folders/19YTHMbuD9wTOsutVpH2_-vX6K5wv4RZk,,"""Este encantador PH en planta baja sobre lote 10 x 30, es ideal para quien busca dos propiedades independientes ya sea para alquilar una de ellas o para convertirlo en vivienda multifamiliar. /  / No se pueden vender por separado y la propiedad detras esta a terminar. /  / Propiedad 1: / Ingresamos por la entrada principal o por el garage para mas de 4 autos. /  / Se compone de hall de entrada, 3 habitaciones, baño completo, cocina reciclada hace 18 años aproximadamente, y patio propio. /  / Esta propiedad no tiene espacio aereo porque por encima esta la Unidad Funcional N°2 del mismo PH (con ingreso separado) /  / Al fondo del lote hay está segunda construcción a terminar, con dos dormitorios, baño y terraza distribuida en 3 plantas. La estructura está hecha, pero resta completarla, ideal para segunda vivienda o para: terminarla para alquilar. /  / Ubicada en San Andrés, partido de General San Martín, con acceso rápido al tren: la zona está cerca de la Estación San Andrés de la Línea Mitre (ramal Retiro – José León Suárez), un punto fuerte para conectividad diaria. /  / La presente publicación describe las características esenciales del inmueble, las medidas reales surgirán del titulo de la propiedad y debiéndose consultar al corredor público inmobiliario responsable de la operación por descripciones arquitectónicas y funcionales, servicios, impuestos, precios y demás información, cuyos valores son aproximados."""
